word	meaning
abbreviation	n.縮語
abide	v.遵守
abnormal	adj.反常的
abolish	v.廢除
abolition	n.廢除
aboriginal	adj.原住民的
aborigine	n. 原著居民
abortion	n.墮胎
absorbing	adj.極有趣的
abstraction	n.心不在焉／抽象概念
absurd	adj.荒唐的
abundance	n.豐富
acceleration	n.加速
accessible	adj.易接近的
accessory	n.附件
acclaim	v./n.歡呼；歡呼聲
accommodation	n.住所
accomplished	adj.有才藝的
accomplishment	n. [C]才藝；[U]完成
accord	v.符合
accordingly	adv. 因此
accountable	adj. 負有責任的
accounting	n.會計學
accumulate	v. 累積
accumulation	n.累積
accusation	n.控訴
accustom	v.使習慣
ace	n.一點(撲克牌)；能手
acoustic	adj.聽覺的
acreage	n.英畝數
acute	adj.敏銳的
ad	n.廣告
adaptation	n.適應；改編(本)
addict	n.對～有癮的人
addiction	n.耽溺
adequately	adv.充分地
adjoin	v.毗連
administrative	adj.行政的
administrator	n.行政官員
admiral	n.海軍將官
adolescence	n.青春期
adolescent	adj./n.青春期的；青少年
advancement	n.前進；擢升
adverse	adj.反對的
advert	v.提及
advertising	n.廣告業
advisory	adj.提供忠告的
advocate	n./v.提倡者；擁護
aerospace	n.航空太空(包括大氣層內外)
aesthetic	adj.美感的
affection	n.愛情
affiliated	adj.相關聯的
aftermath	n.餘波
agenda	n.議程
aggregate	n.總數
aggression	n.侵略
aging	adj.變老的
agony	n.痛苦
aide	n.助理
airforce	n.空軍
air-tight	adj.密封的
airway	n.航空公司；航線
aisle	n.通道
akin	adj.類似的
alarming	adj.令人憂心的
alas	interj.哎呀(表悲傷或恐懼)
albeit	adv.儘管
alcoholic	n./adj.酒精飲料；含酒精的
algebra	n.代數
alien	adj.外國的
alienate	v.使不和
alienation	n.離間；疏遠
allegation	n.宣稱
allege	v.聲稱
allergy	n.過敏性反應
alliance	n.聯盟
allied	adj.同盟的
allocate	v.撥給
allocation	n.配給
allot	v. 分配
alongside	prep./adv.靠著…旁邊
alteration	adj.更動
alternate	adj./v. 輪流的
alternative	adj.替代的；二擇一的
alternatively	adv.二擇一地
altitude	n.高度
aluminum	n.鋁
amazing	adj.令人驚訝的
ambiguity	n.意義含糊
ambiguous	adj.含糊的
ambush	v.埋伏突擊
amend	v.修改
amid	prep.在…當中
ammunition	n.彈藥
amnesty	n.大赦
analects	n.語錄
analogy	n.相似
analyst	n.分析家
ancestral	adj.祖先的
anchor	n.錨
anecdote	n.軼事
angler	n.釣魚者
angular	adj.有尖角的
anonymous	adj.不具名的
amenna	n.觸鬚；天線
anthem	n.聖歌
antibiotic	n.抗生素
antibody	n.抗體
anticipation	n.期盼
antique	adj.年代久遠的
anymore	adv.再也(不)
appal	v.(=appall)使驚駭
appalling	adj.令人恐懼的
appealing	adj.迷人的
appetizer	n.(主菜前用的) 開胃食物
applaud	v.鼓掌
applause	n.掌聲
applicable	adj.適用的
appraisal	n.評價
apprehension	n.憂慮
apprentice	n.學徒
apt	adj.有…傾向的
aptitude	n.資質
aquarium	n.水族館
archaeology	n.考古學
archive	n.檔案
arena	n.活動場所(供運動、娛樂的)
armed	adj.武裝的
array	n.一長列
arrogant	adj.傲慢的
articulate	v.清楚的表達
artillery	n.大砲
ascertain	v.查明
ascribe	v.把…歸因於
aspiration	n.願望
aspirin	n.阿斯匹靈
aspiring	adj.有抱負的
ass	n.驢；蠢人
assassinate	v.行刺
assault	n.攻擊
assertion	n.紙張
assertive	adj.武斷的
assertively	adv.武斷地
asset	n.資產
associate	n.夥伴
astonish	v.使驚訝
astronomy	n.天文學
asylum	n.庇護(所)
attainment	n.達到
attendant	n.服務員
attic	n.閣樓
auction	n.拍賣
audio	adj.可聽頻率的
audio-visual	adj.視聽的
auditorium	n.禮堂
Australia	prop./n.澳洲
autobiography	n.自傳
automatically	adv.自動地
autonomy	n.自治(權)
availability	n.有效
avenge	v.報…之仇
aviation	n.航空(學)
awaking	adj.使人覺醒的
awkwardly	adv.笨拙地
ax	n.斧頭
baby-sitter	n.保姆
bachelor	n.單身漢；學士
badminton	n.羽毛球
bail	n.保釋(金)
bald	adj.禿的
ballad	n.民謠
ballot	n.無記名投票
ballroom	n.舞廳
ban	v.禁止
banker	n.銀行家
banquet	n.宴會
baptism	n.洗禮
barbarian	n.野蠻人
bargaining	n.議價
barkeeper	n.酒吧主人
bartender	n.酒保
based	adj.以…為基礎的
bass	n.低音部
bastard	n.私生子；令人討厭的人
bathtub	n.浴缸
batter	v.毀損
battlefield	n.戰場
BBC	n.英國廣播公司
B.C.	n.西元前
beautify	v.美化
beckon	v.召喚
behalf	n.為了…的利益；代表
behold	v.見到
Beijing	n./prop.北京
belongings	n.所有物
beloved	n.所愛的人
beneficial	adj.有益的
besiege	v.包圍
bestseller	n.暢銷品
beverage	n.飲料
beware	v.當心
bewilder	v.使混亂
bias	n.成見
Biblical	adj.聖經的
bid	v.出價；吩咐
bikini	n.三點式泳裝
billionaire	n.億萬富翁
binomial	adj.〔數〕二項式
biochemistry	n.生物化學
biological	adj.生物(學)的
bishop	n.主教
bitterly	adv.酷寒的
bitterness	n.苦；悲傷
bizarre	adj.古怪的
blameworthy	adj.應受責備的
bland	adj.溫和的
blast	n.一陣疾風
blaze	n.烈火；光輝
bleak	adj.陰冷(鬱)的
blink	v.眨眼；漠視
bloc	n.政治集團
blonde	n.金髮白種人
blossom	n.花(叢)
blueprint	n.藍圖
blues	n.勃魯斯音樂；沮喪
bluff	n.虛張聲勢
blunder	n.愚蠢的錯誤
blur	v.使模糊
bodily	adj.身體的
bodyguard	n.侍衛
boldly	adv.大膽地
bolt	n.螺栓；閃電
bonus	n.紅利
bookstore	n.書店
boom	n.隆隆聲；景氣
boost	v.提升
booth	n.售貨棚
botany	n.植物學
boulevard	n.林蔭大道
bound	adj.很有可能的；準備前往…的
boxing	n.拳擊
boycott	v.抵制
brace	n.支撐物
breach	v.違犯
breakdown	n.故障
breakthrough	n.突破
break-up	n.瓦解
breathtaking	adj.使人興奮的
breeder	n.繁殖者
brew	v.沖泡；醞釀
bridegroom	n.新郎
briefcase	n.公事包
briefmg	n.簡報
brigade	n.旅；隊
brighten	v.照亮
brisk	adj.輕快的
Briton	n.英國人
broaden	v.加寬
brochure	n.小冊子
broker	n.經紀人
brood	n.一窩
browse	v.噹食；瀏覽
brutality	n.野蠻
Buddha	n.佛陀
Buddhism	n.佛教
buffalo	n.水牛
buffet	v.打擊
bulb	n. 球莖(根)
bulk	n.大量
bully	n.恃強凌弱者
bun	n.小圓甜麵包；髮髻
bunk	n.臥鋪
bunker	n.媒倉；掩體
bureaucracy	n.官僚
burglar	n.竊賊
businesslike	adj.處事務實的
butcher	n.肉商
calf	n.小牛
calorie	n.卡路里
canal	n.運河
capitalist	n.資本家
capitol	n.美國州議會大廈
caption	n.說明文字
captive	adj.被俘虜的
captivity	n.囚禁
carbon	n. 碳
cardinal	n.紅衣主教
carefree	adj.無憂無慮的
caress	v.愛撫
carnival	n.嘉年華會
carp	n.鯉魚
cashier	n.出納員
casino	n.賭場
caste	n.種姓(制度)
casually	adv.漫不經心的
casualty	n.傷亡者
catalogue	n.目錄
catastrophe	n.災難
catcher	n.捕捉者
cater	v.承包伙食
caterpillar	n.毛蟲
causal	adj.具有因果關係的
caution	n.謹慎
cautious	adj.小心的
cautiously	adv.小心地
cavalry	n.騎兵(隊)
CD	n.(=compact disc)光碟
ceasefire	n.停火協定
celebrity	n.名人(聲)
cellar	n.地窖
cemetery	n.墓地
census	n.調查
centigrade	adj./n.攝氏(的)
ceramic	adj.陶器(藝)的
ceremonious	adj.拘泥形式的
certificate	n.證書
chairwoman	n.女主席
challenging	adj.富有挑戰性的
champagne	n.香檳
Chancellor	n.司法官
changeable	adj.易變的
chaos	n.無秩序狀態
charitable	adj.仁慈的
