學號	國文	英文	數學
1	63	77	69
2	77	83	77
3	71	80	67
4	62	77	67
5	61	80	71
6	69	80	76
7	73	82	78
8	79	74	63
9	64	78	76
10	65	73	79
11	67	84	75
12	62	87	60
13	70	78	73
14	76	70	74
15	79	85	70
16	63	81	64
17	79	78	75
18	74	81	76
19	75	77	77
20	62	84	60
21	76	66	81
22	78	88	79
23	77	87	85
24	66	77	60
25	89	85	87
26	67	87	76
27	76	90	90
28	77	64	71
29	83	74	63
30	81	85	69
31	60	87	71
32	85	69	80
33	76	73	76
34	82	87	78
35	80	89	63
36	69	72	85
37	80	70	77
38	73	75	73
39	80	69	76
40	82	60	69
41	68	78	82
